# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
与CD8分子结合的部位是|HLAI类分子轻链(β₂m)|HLAII类分子α1与α2结构域|HLAII类分子α1与β1结构域|HLAI类分子α3结构域|HLAII类分子β2结构域|D
与CD4分子结合的部位是|HLAI类分子轻链(β₂m)|HLAII类分子α1与α2结构域|HLAII类分子α1与β1结构域|HLAI类分子α3结构域|HLAII类分子β2结构域|E
构成抗原结合槽的部位是|HLAI类分子轻链(β₂m)|HLAII类分子α1与α2结构域|HLAII类分子α1与β1结构域|HLAI类分子α3结构域|HLAII类分子β2结构域|C
不是HLA复合体基因编码的产物|HLAI类分子轻链(β₂m)|HLAII类分子α1与α2结构域|HLAII类分子α1与β1结构域|HLAI类分子α3结构域|HLAII类分子β2结构域|A
编码经典HLAI类分子的基因|HLA-A、HLA-B、HLA-C基因|HLA-DP、HLA-DQ、HLA-DR基因|C2、C4、Bf基因|HLA-E、HLA-F、HLA-G基因|HLA-DM、HLA-DO、TAP、LMP基因|A
编码经典HLAII类分子的基因|HLA-A、HLA-B、HLA-C基因|HLA-DP、HLA-DQ、HLA-DR基因|C2、C4、Bf基因|HLA-E、HLA-F、HLA-G基因|HLA-DM、HLA-DO、TAP、LMP基因|B
编码HLAII类分子的基因|HLA-A、HLA-B、HLA-C基因|HLA-DP、HLA-DQ、HLA-DR基因|C2、C4、Bf基因|HLA-E、HLA-F、HLA-G基因|HLA-DM、HLA-DO、TAP、LMP基因|C
编码HLAIb类分子的基因|HLA-A、HLA-B、HLA-C基因|HLA-DP、HLA-DQ、HLA-DR基因|C2、C4、Bf基因|HLA-E、HLA-F、HLA-G基因|HLA-DM、HLA-DO、TAP、LMP基因|D
抗原加工提呈相关基因|HLA-A、HLA-B、HLA-C基因|HLA-DP、HLA-DQ、HLA-DR基因|C2、C4、Bf基因|HLA-E、HLA-F、HLA-G基因|HLA-DM、HLA-DO、TAP、LMP基因|E
通常不表达HLAI类和II类抗原|静息T淋巴细胞|血小板|B淋巴细胞|成熟红细胞|NK细胞|D
组成性表达HLAII类分子|静息T淋巴细胞|血小板|B淋巴细胞|成熟红细胞|NK细胞|C
无细胞核但高表达HLAI类分子|静息T淋巴细胞|血小板|B淋巴细胞|成熟红细胞|NK细胞|B
可通过表面受体识别MICA/B分子|静息T淋巴细胞|血小板|B淋巴细胞|成熟红细胞|NK细胞|E

# 第九章B淋巴细胞选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
mIgD只表达在|抗原递呈细胞|成熟的初始B细胞上|调节性B细胞|记忆B细胞|浆细胞|B
B细胞参与黏膜免疫反应主要是通过分泌|IgA|IgD|IgE|IgG|IgM|A
与I型超敏反应或寄生虫感染相关的是|IgA|IgD|IgE|IgG|IgM|C
以下关于BCR的胚系基因结构错误的是|人Ig重链基因群位于第14号染色体长臂|人Ig轻链κ基因定位于第2号染色体长臂|人Ig轻链λ基因定位于第22号染色体短臂|人的VH、DH和JH的基因片段数分别为45、23和6个|人的Vκ和Jκ基因片段数分别为40和5个|C
理论上IgV区基因片段的组合加上轻重链组合后的多样性约为|1.8×10⁶|1.9×10⁶|2.0×10⁶|2.1×10⁶|2.2×10⁶|B
体细胞高频突变主要发生在|V区|D区|J区|C区|M区|A
未成熟B细胞可以表达的Ig是|IgG|IgA|IgD|IgM|IgE|D
关于前B细胞(pre-B cell)正确的是|先经历小前B细胞阶段,再经历大前B细胞阶段|pre-B cell受体由μ链和替代轻链所组成|替代轻链由λ3和VpreB两种蛋白组成|pre-BCR可抑制另一条重链基因的重排|小pre-B细胞开始发生轻链基因V-J重排,表达功能性BCR|D
关于B细胞错误的是|早期pro-B cell开始重排重链可变区基因D-J|晚期pro-B cell的V-D-J基因发生重排|pro-B cell开始表达Igα/Igβ异源二聚体|Igα/Igβ是BCR复合物的组成部分,是B细胞的重要标记|pro-B cell开始表达mIgM|E
关于成熟B细胞错误的是|又称初始B细胞|可同时表达mIgM和mIgD|表达mIgM和mIgD的可变区不完全相同|离开骨髓,定居在外周淋巴器官|可进一步分化为浆细胞|C
B细胞发育过程中处于抗原依赖期的是|淋巴样细胞|记忆B细胞|祖B细胞|前B细胞|未成熟B细胞|B
B细胞表面最重要的标志为|mIg|FcγR|CD40|CD5|CD80|A
属于B细胞的表面标志为|CD3|CD4|CD8|CD19|CD56|D
B细胞能识别特异性抗原,因其表面有|Fc受体|C3受体|IPS受体|E受体|mIg|E
B细胞表面传递活化信号为|CD5|CD19|CD3|CD32|CD56|B
以下不属于B细胞共刺激分子的是|CD40|CD80|CD54|LFA-1|CD19|E
B细胞能够作为APC促进T细胞活化,其原因是具有以下哪个重要信号分子|CD40|CD80|CD20|CD32|CD19|B
能与C3d结合形成复合体,发挥B细胞共受体作用的分子为|CD21|CD80|CD20|CD32|CD40|A
以下关于膜表面免疫球蛋白(mIg)的说法正确的是|是B细胞的特征性的表面标志,因此浆细胞也能表达|结合抗原后即能传递信号至胞内发挥作用|以双体形式存在,能特异性结合抗原|其胞质区短,不能直接将抗原刺激的信号传递到B细胞内|能够激活T细胞|D
利妥昔单抗结合的靶分子为|CD32|CD20|CD19|CD40|CD80|B
以下不属于调节性B细胞功能的是|产生炎性的细胞因子IL-6、TNF-α|调节NK细胞和T细胞的功能|调节巨噬细胞、树突状细胞|分泌IL-10、TGF-β等抑制性细胞因子|分泌IFN-γ等因子|E
以下关于初始B细胞的说法,正确的是|初始B细胞是指从未接受过抗原刺激的B细胞|存活周期比记忆B细胞长|能响应相同抗原的二次刺激,产生更迅速、更高效、更特异的体液免疫|只能分化为浆细胞,是抗体的主要来源|只能分化为记忆B细胞|A
以下关于浆B细胞的说法,错误的是|可由初始B细胞分化或记忆B细胞分化而成|是抗体的主要来源|浆细胞就是效应B细胞|能响应相同抗原的二次刺激,产生更迅速、更高效、更特异的体液免疫|可通过分泌抗体介导体液免疫的发生|D
以下不属于B细胞表面分子的是|CD20|CD19|CD80|CD3|CD32|D
以下不属于B细胞抗原受体复合物的是|mIgG|CD79a|CD79b|Igα/Igβ|CD35|E
可以作为B细胞活化的共刺激分子是|CD4|CD19|CD21|CD28|CD40|E
有特异性抗原受体的细胞是|B淋巴细胞|浆细胞|巨噬细胞|NK细胞|单核细胞|A
以下关于B细胞分化发育的说法错误的是|哺乳动物的B细胞是在胸腺中发育成熟的|B淋巴细胞由哺乳动物骨髓中的淋巴样干细胞分化发育而来|成熟B细胞主要定居于外周淋巴器官的淋巴滤泡内|骨髓中基质细胞表达的细胞因子和黏附分子是诱导B细胞发育的必要条件|B细胞分化发育过程中主要是功能BCR的表达和形成B细胞自身免疫耐受|A
BCR基因重排需要的重组酶中不包括|RAG1|RAG2|TdT|DNA外切酶|胶原酶|E
B细胞抗原识别受体多样性产生的机制不包括|组合多样性|连接多样性|受体编辑|体细胞高频突变|B细胞数量丰富|E
以下不属于定居于骨髓的B细胞亚群是|祖B细胞|小前B细胞|大前B细胞|未成熟B细胞|成熟B细胞|E
以下关于B细胞在中枢免疫器官的分化发育说法正确的是|祖B细胞不能接受抗原信号,原因是它不表达Igα/Igβ异源二聚体|前B细胞表达功能性的B细胞受体|B细胞在骨髓中的发育不依赖抗原,经历了祖B细胞、前B细胞、未成熟B细胞和成熟B细胞等阶段|成熟B细胞在骨髓中接受抗原的刺激,进一步分化成浆细胞和记忆B细胞|浆细胞是在骨髓中由初始B细胞发育而来|C
以下关于B1细胞的说法错误的是|B1细胞能自发分泌针对微生物脂多糖和某些自身抗原的IgM|属于固有免疫细胞,在腹膜腔等部位能对微生物感染迅速产生抗体|B1细胞也能产生多种针对自身抗原的抗体|也是分泌抗体参与体液免疫应答的主要细胞|B1在个体发育胚胎期即产生,具有自我更新(self-renewal)能力|D
以下关于B2细胞的说法错误的是|能自发分泌针对微生物脂多糖和某些自身抗原的IgM|可分化成浆细胞并产生抗体,从而行使体液免疫功能|可分化为记忆B细胞|是分泌抗体参与体液免疫应答的主要细胞|在个体发育中出现相对较晚,定位于外周淋巴器官|A
以下对B细胞中枢免疫耐受的形成描述错误的是|通过阴性选择获得免疫耐受|识别自身抗原的未成熟B细胞通过组合多样性改变BCR的特异性|与自身抗原结合的未成熟B细胞发生细胞凋亡|未成熟B细胞与自身抗原的结合可引起mIgM表达下调|识别自身抗原的未成熟B细胞通过受体编辑改变BCR的特异性|B
下面对B细胞共刺激分子描述正确的是|B细胞活化第一信号由共刺激分子转导至细胞内|共刺激分子是B细胞活化的第一信号|第二信号由APC与B细胞表面分子相互作用产生|在共刺激信号的辅助下,B细胞活化|B细胞通过共刺激分子抑制T细胞的增殖|D
下面对B细胞分化发育描述正确的是|在胸腺中发育成熟的|骨髓基质微环境是B细胞发育的必要条件|B细胞在骨髓的分化发育依赖抗原的存在|未成熟B细胞通过阳性选择形成中枢免疫耐受|未成熟的B细胞可发挥适应性免疫应答|B
下面对B细胞表面分子描述错误的是|BCR复合物由mIg和Igα/Igβ组成|mIg是B细胞的特征性表面标志可直接转导活化信号|Igα/Igβ转导抗原与BCR结合所产生的信号|CD19/CD21/CD81是B细胞的多分子共受体|CD40/CD40L提供B细胞活化的第二信号|B
患者,女性,30岁,霍奇金氏淋巴瘤,可考虑用于治疗的抗体靶向的是|CD4|CD40|CD20|CD8|CD80|C
以下哪个不是BCR多样性的原因|基因重排|组合多样性|编码BCR的基因群具有多样性|连接多样性|体细胞高频突变|C
下面哪个分子具有ITIM基序|CD19|CD20|CD22|CD80|CD86|C
以下不是BCR连接多样性机制的是|密码子错位|框架移位|N序列插入|TdT能将N序列插入待接DNA的断端|受体编辑|E
BCR的L链可变区基因不包括以下哪种基因片段|Vκ|Jκ|Vλ|Jλ|Cκ|E
体细胞高频突变的方式是主要在编码()的基因序列发生碱基的点突变|V区的CDR|D区的CDR|J区的CDR|C区的CDR|A区的CDR|A
人类Ig重链V区其排列组合的种类可达|60|600|6000|60000|600000|C
患者,男性,2岁,出生后5个月易患感冒、呼吸系统感染,因发烧39°C,咳嗽、呼吸困难入院,检查丙种球蛋白低,诊断为Bruton综合征。其体内缺乏|B细胞|T细胞|单核/巨噬细胞|NK细胞|树突状细胞|A
患者,女性,40岁,患有哮喘,常反复发生呼吸道感染,检测血清免疫球蛋白含量IgG 10.3g/L,IgA 0.04g/L,IgM 0.52g/L。该患者最有可能患有|Bruton综合征|选择性IgA缺陷症|X-连锁无丙种球蛋白血症|霍奇金淋巴瘤|系统性红斑狼疮|B
患者,女性,30岁,霍奇金氏淋巴瘤,可考虑用于治疗的抗体靶向的是|CD4|CD40|CD20|CD8|CD80|C
患者,女性,50岁,小关节肿痛一个月,怀疑自己患有类风湿关节炎(RA),下列不属于检测RA指标的是|类风湿因子IgG及IgA|抗环状瓜氨酸(CCP)抗体|类风湿因子(RF-IgM)|抗核抗体|皮肤活检和肾活检|E
患者,女性,患有弥漫性大B细胞淋巴瘤,下列不属于其免疫标记的是|IgG|IgA|IgE|CD19|IgM|C
患者,女性,50岁,贫血,早晨起床时关节活动不灵活,近一月来发现关节畸形,诊断为类风湿关节炎,考虑使用Rituximab(利妥昔单抗)治疗,其原理为|抗CD19单抗|TNF-α嵌合性单克隆抗体|抗CD20单抗|IL-6受体拮抗剂|抗79a单抗|C
某类风湿关节炎患者,综合各种因素,考虑使用血浆置换的免疫净化疗法,其目的是|快速去除血浆中的免疫复合物和过高的免疫球蛋白、自身抗体|清除单个核细胞|清除滑膜液|清除病原微生物|清除胸腔积液|A
某患者每到春天就出现皮肤红肿,奇痒难熬的症状,其他季节则不会发病。医生诊断为因为花粉导致的过敏反应(荨麻疹),过敏反应的主要效应细胞为|mIgM⁺B细胞|mIgD⁺B细胞|mIgG⁺B细胞|mIgA⁺B细胞|mIgE⁺B细胞|E
患者,男性,45岁,主诉皮肤黏膜出血,有贫血病史。检查发现肝、脾肿大,颈部淋巴结肿大,血液检测结果发现单克隆免疫球蛋白或轻链(M蛋白)值异常升高,诊断为骨髓瘤。该病是()异常引起|单核巨噬细胞|粒细胞|T细胞|B细胞|NK细胞|D
患者,女性,47岁,幼儿园教师,长期腹泻入院。多次肠镜未见异常,Hopkins小肠镜活检组织HE染色见绒毛变短,浆细胞贫乏,上皮内淋巴细胞增加。最后依靠病理诊断为CVID(普通多变型免疫缺陷病),常见变异型免疫缺陷病(CVID)也称低丙种球蛋白血症,其免疫缺陷有两种类型,第一类是B细胞增殖、分化或转化为浆细胞的功能有缺陷,或虽能正常分化及合成免疫球蛋白,但分泌功能缺陷。第二类是Th2细胞受损,CD4/CD8T细胞比值下降,或Th2细胞功能低下,导致体液免疫受损,以下可能是CVID发病机制的是|一个B细胞克隆只表达一种BCR,只分泌一种抗体|成熟B细胞在外周淋巴器官生发中心接受抗原刺激后发生体细胞高频突变|小pre-B细胞开始发生轻链基因V-J重排,但仍然不能表达功能性BCR|B细胞共受体CD19缺陷|前B细胞在骨髓中发育至未成熟B细胞后,其表面mIgM与骨髓中的自身抗原结合,导致细胞凋亡|D
实验常见的工具鼠NSG小鼠因为DNA修复酶Prkdc功能缺陷而不存在V(D)J重排,同时存在Interleukin-2Rγ突变,以此推测这种小鼠内体可能健全的免疫细胞是|粒细胞|T细胞|B细胞|浆细胞|NK细胞|A
患者,女性,25岁,自2016年1月初因面部蝶形红斑就诊,经检查确诊为红斑狼疮。患者发病最可能的原因是|患者体内产生大量自身抗体|患者体内B淋巴细胞缺失|患者误食变质食品|患者曾受蚊虫叮咬|患者花粉过敏|A
患儿,男性,6岁,自2016年2月末因颈部淋巴结无痛性、渐进性增大就诊,穿刺免疫组化结果:肿瘤细胞CD20⁺,Bcl6⁺,MUM1⁺,Bcl2⁺,CD3⁻,CD4⁻,CD8⁻,AE1/AE3⁻,Ki67⁺(约60%),其可能的诊断是|胃癌|肝癌|肺癌|直肠癌|淋巴瘤|E
患者,男性,56岁,被诊断出患有小B细胞淋巴瘤。对于小B细胞淋巴瘤,以下说法错误的是|形态学上表现为肿瘤由中、小B淋巴细胞组成|表达B细胞相关抗原|不表达B细胞相关抗原|IgH和IgL基因重排|表达免疫球蛋白单一轻链(κ或λ)|C
患者,女性,65岁,颈部淋巴结肿大,纵隔肿块,并伴有长期发热,其可能的诊断是|甲状腺癌|乳腺癌|肺癌|淋巴结核|霍奇金淋巴瘤|E
患者,男性78岁,白细胞计数4×10⁹/L,分类计数粒细胞0.04,淋巴细胞0.96,最可能的诊断是|百日咳|流行性感冒|慢性淋巴细胞白血病|伤寒|急性淋巴细胞白血病|C
患者,女性,25岁,发热,皮肤瘙痒半个月,右颈部淋巴结无痛性肿大,互相粘连。血红蛋白10g/L,白细胞9×10⁹/L,中性粒细胞0.65,淋巴细胞0.35,骨髓涂片找到R-S细胞,最大可能的诊断|淋巴结结核|非霍奇金病淋巴瘤|霍奇金淋巴瘤|转移癌|急性白血病|C
患者,男性,18岁,右颈部淋巴结进行性无痛性肿大1个月,伴有低热消瘦,近一周上胸部水肿,淋巴结活检有R-S细胞,胸片示纵隔有肿块,首选哪种治疗|全淋巴结放射治疗|MOPP|CHOP|强的松+长春新碱|环磷酰胺|E
患者,男性,45岁。颈部淋巴结肿大,皮肤瘙痒,间歇性发热3个月。查体:脾大,左肋下3cm,颈淋巴结活检为霍奇金病,该患者最常见的自发症状为|贫血|脾肿大|无痛性颈部淋巴结肿大|间歇性发热|皮肤瘙痒|C
患者,男性,62岁。右颈部包块1个月入院。活检诊断为淋巴细胞分化不良性淋巴瘤,脾肋下4cm,骨髓穿刺涂片内有12%淋巴肉瘤细胞,治疗应采取|脾切除|骨髓移植|放射治疗|联合化疗|颈部淋巴结切除|D
患者,男性,45岁,发热、乏力伴消瘦2个月,两侧颈部和腹股沟可触及数粒蚕豆大小淋巴结,脾肋下2cm,结核菌素试验(-),骨髓检查正常。如要确诊,应做哪项检查|骨髓活检|腹部B超|胸部CT|淋巴结活检|染色体检查|D
患者,男性,35岁,关节(指关节、腕关节等,两侧对称)和肌肉游走性酸楚、红肿、疼痛,早晨起床时关节僵硬症状明显(晨僵),天气转寒或者变潮湿后症状更加严重。医院化验检查类风湿因子、抗环瓜氨酸抗体(CCP)阳性,影像学检查可以发现骨及关节损害明显。最可能的原因是|反应性关节炎|类风湿性关节炎|骨关节炎|强直性脊柱炎|痛风性关节炎|B
患者,女性,结婚后一直无法生育,每次都是刚怀上不到两个月就流产,10余年内反复性自然流产,患者的B淋巴细胞很可能缺少以下哪种抗体|抗HLA-D/DR抗体|抗CD14抗体|抗CD24抗体|抗CD69抗体|抗CD52抗体|A
患者,男性,56岁,患系统性红斑狼疮肾炎(IV型),抗核抗体(+),核均质型1:1000(+),抗RNP/Sm抗体(+),抗dsDNA抗体(++),直接Coombs试验(+):抗IgG、C3d抗体(+),这些抗体主要由下列哪种细胞产生|祖B细胞|前B细胞|初始B细胞|记忆B细胞|效应B细胞|E
患者,女性,54岁,弥漫大B细胞淋巴瘤,此类患者最常见的治疗药物不包括|环磷酰胺|强的松|长春新碱|赫赛汀|多比柔星|D
患者,男性,35岁,非霍奇金淋巴瘤,颈部淋巴结和锁骨上淋巴结肿大,经常性高烧,体重减轻明显。通过免疫组化方法不能辅助诊断该类疾病的肿瘤抗原是|CD5|Ki67|CD20|CD79a|CD56|E
未成熟B细胞与初始B细胞都是|mIgM⁺B细胞|mIgG⁺B细胞|mIgA⁺B细胞|mIgD⁺B细胞|mIgE⁺B细胞|A
主要存在于外周淋巴组织与骨髓中的是|mIgM⁺B细胞|mIgG⁺B细胞|mIgA⁺B细胞|mIgD⁺B细胞|mIgE⁺B细胞|B
