以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
可用于区别麻风分枝杆菌与结核分枝杆菌的特性是||抗酸染色阳性||胞内寄生||脂质含量较高||细长杆菌||泡沫细胞形成||E
关于麻风病说法错误的是||一种慢性传染病||流行地区人群多为隐性感染||形成肉芽肿病变||潜伏期长||自然条件下多种动物均可感染||E
最有意义的麻风病传染源是||麻风病患者||麻风分枝杆菌携带者||带菌犰狳||带菌小鼠||带菌黑猩猩||A
女性，18岁。近1个多月来咳嗽，痰中时有血丝；消瘦并常感疲乏无力、午后微热、心悸、盗汗、食欲缺乏。医生高度怀疑为肺结核并对其进行临床检查。其中取标本集菌涂片后，应选用的染色方法是||革兰染色法||墨汁染色法||荚膜染色法||抗酸染色法||镀银染色法||D
男性患儿，4岁。咳嗽、发热20天，就诊时胸部X线检查见右肺呈哑铃状阴影，结核菌素试验红肿硬结约20mm。考虑该患儿为||肺炎球菌性大叶性肺炎||结核分枝杆菌原发感染||结核分枝杆菌原发后感染||支原体肺炎||结核病恢复期||B
女性患者，43岁，因下腹痛，食欲缺乏，乏力，消瘦3个月入院。查体：贫血貌，腹部平坦，有柔韧感，无压痛和反跳痛，未触及包块，肝脾肋下未触及。化验结果显示血红蛋白低，血沉升高，结核菌素试验阳性，结肠镜取样病理学检查提示肉芽肿性炎症。考虑该患者为||慢性阑尾炎||肠梗阻||肠结核||慢性结肠炎||弥漫性腹膜炎||C
与结核分枝杆菌毒力密切相关的是||磷脂||索状因子||荚膜||硫酸脑苷脂||结核菌素||B
可抑制吞噬细胞中的吞噬体与溶酶体融合的是||磷脂||索状因子||荚膜||硫酸脑苷脂||结核菌素||D
能引起皮肤迟发型超敏反应的物质是||磷脂||索状因子||荚膜||硫酸脑苷脂||结核菌素||E
与结核分枝杆菌黏附与入侵细胞相关的物质是||磷脂||索状因子||荚膜||硫酸脑苷脂||结核菌素||C
不能在人工培养基中生长的细菌是||淋病奈瑟菌||霍乱弧菌||结核分枝杆菌||麻风分枝杆菌||白喉棒状杆菌||D
可引起人畜共患疾病的细菌是||淋病奈瑟菌||霍乱弧菌||结核分枝杆菌||麻风分枝杆菌||白喉棒状杆菌||C
用抗毒素能进行治疗的细菌是||淋病奈瑟菌||霍乱弧菌||结核分枝杆菌||麻风分枝杆菌||白喉棒状杆菌||E
通过消化道传播的细菌是||淋病奈瑟菌||霍乱弧菌||结核分枝杆菌||麻风分枝杆菌||白喉棒状杆菌||B

### 第十四章 嗜血杆菌属
对流感嗜血杆菌特性描述正确的是||革兰阳性菌||是流感的病原体||无芽胞||有鞭毛||可以发酵乳糖||C
对流感嗜血杆菌培养条件的描述中错误的是||需氧或兼性厌氧||培养时需要X因子和V因子||在巧克力平板上培养后可产生溶血现象||与金黄色葡萄球菌在血平板上共培养可产生"卫星现象"||长期的人工培养物中通常会丧失荚膜||C
以下哪一种不属于流感嗜血杆菌的致病物质||荚膜||菌毛||内毒素||IgA蛋白酶||外毒素||E
致病力最强的流感嗜血杆菌是||a型流感嗜血杆菌||b型流感嗜血杆菌||c型流感嗜血杆菌||d型流感嗜血杆菌||e型流感嗜血杆菌||B
哪种细菌不能引起化脓性感染||脑膜炎奈瑟菌||肺炎链球菌||破伤风梭菌||b型流感嗜血杆菌||淋病奈瑟菌||C
人工培养时需要加入X因子和V因子的细菌是||布鲁菌||炭疽芽胞杆菌||痢疾志贺菌||流感嗜血杆菌||金黄色葡萄球菌||D
与金黄色葡萄球菌共培养时可出现"卫星现象"的细菌是||肺炎链球菌||流感嗜血杆菌||嗜肺军团菌||支原体||铜绿假单胞菌||B
流感嗜血杆菌具有型特异性的抗原是||荚膜多糖抗原||菌体抗原||鞭毛抗原||K抗原||Vi抗原||A
患儿8个月，发热三天，咳嗽，咳脓性痰，出现呼吸急促和发绀一天，来医院检查体温39°C，听诊双肺闻及湿啰音，血常规白细胞总数升高，痰液革兰染色发现大量革兰阴性小杆菌，该患儿最可能感染的病原体是||金黄色葡萄球菌||结核分枝杆菌||A群溶血性链球菌||流感嗜血杆菌||肺炎链球菌||D
患儿，女，2岁，因上呼吸道感染后出现高热、嗜睡、抽搐入院。查体体温40°C，颈项强直，查血WBC为17×10⁹/L，脑脊液检查：细胞数4×10⁹/L，中性粒细胞为88%，诊断为细菌性脑膜炎。脑脊液涂片革兰染色为革兰阴性杆菌，细菌接种于含脑心浸液的血琼脂平板培养48小时，可见灰白色较大的圆形、透明菌落，无溶血。该患儿最可能感染的是||脑膜炎奈瑟菌||大肠埃希菌||铜绿假单胞菌||破伤风梭菌||流感嗜血杆菌||E
常见的继发于流感之后引起鼻窦炎的细菌是||结核分枝杆菌||脑膜炎奈瑟菌||布鲁菌||流感嗜血杆菌||白喉棒状杆菌||D
引起患儿喉部出现灰白色假膜的细菌是||结核分枝杆菌||脑膜炎奈瑟菌||布鲁菌||流感嗜血杆菌||白喉棒状杆菌||E
抗酸染色阳性的细菌是||结核分枝杆菌||脑膜炎奈瑟菌||布鲁菌||流感嗜血杆菌||白喉棒状杆菌||A
Neisser染色后出现异染颗粒的细菌是||结核分枝杆菌||脑膜炎奈瑟菌||布鲁菌||流感嗜血杆菌||白喉棒状杆菌||E

### 第十五章 动物源性细菌
人类最常见的炭疽病是||皮肤炭疽||肠炭疽||肺炭疽||肝炭疽||脑膜炎||A
可产生芽胞的动物源性细菌是||鼠疫耶尔森菌||炭疽芽胞杆菌||布鲁菌||蜡状芽胞杆菌||枯草芽胞杆菌||B
布鲁菌感染人体后，使机体的热型呈波浪式是因为||内毒素的释放||反复形成菌血症||细菌进入血液||细菌被中性粒细胞吞噬||细菌被巨噬细胞吞噬||B
鼠疫耶尔森菌的传播媒介是||鼠蚤||人虱||恙螨||蚊||蜱||A
下列病原体不是人畜共患病病原体的是||鼠疫耶尔森菌||布鲁菌||炭疽芽胞杆菌||贝纳柯克斯体||百日咳鲍特菌||E
关于炭疽芽胞杆菌，下列叙述错误的是||革兰阴性大杆菌，可形成长链状||有荚膜，其与该菌致病力有关||是人畜共患病病原体||炭疽毒素由保护性抗原、致死因子和水肿因子三种成分构成||临床可致皮肤炭疽、肺炭疽和肠炭疽||A
食人未经消毒的羊奶，最有可能患的疾病是||破伤风||炭疽||伤寒||波浪热||肉毒中毒||D
可引起杆菌性血管瘤及杆菌性紫癜的病原体是||炭疽芽胞杆菌||布鲁菌||汉塞巴通体||鼠疫耶尔森菌||贝纳柯克斯体||C
控制炭疽芽胞杆菌毒力的物质是||质粒||噬菌体||转座子||染色体基因||顺式作用元件||A
在液体培养基培养形成菌膜，摇动后菌膜呈特征性"钟乳石"状下沉的是||结核分枝杆菌||布鲁菌||大肠埃希菌||炭疽芽胞杆菌||鼠疫耶尔森菌||E
感染动物后引起母畜流产的病原菌是||炭疽芽胞杆菌||鼠疫耶尔森菌||布鲁菌||钩端螺旋体||普氏立克次体||C
菌体呈卵圆形，革兰阴性，两极浓染的细菌是||白喉棒状杆菌||结核分枝杆菌||鼠疫耶尔森菌||伤寒沙门菌||炭疽芽胞杆菌||C
导致炭疽病患者死亡的致病物质是||炭疽毒素||荚膜||菌体抗原||内毒素||肠毒素||A
人类感染炭疽芽胞杆菌引起的疾病多见于||肺炭疽||肠炭疽||炭疽性脑膜炎||皮肤炭疽||败血症||D
下列哪种方法可用于鉴别羊、猪和牛布鲁菌||初次分离培养需5%~10%的CO₂||是否分解乳糖||菌体A抗原与M抗原的比例||是否分解葡萄糖||血琼脂平板是否溶血||C
能引起人畜共患病的病原体是||梅毒螺旋体||霍乱弧菌||布鲁菌||淋病奈瑟菌||白喉棒状杆菌||C
患者，男，40岁。20天前开始发热，体温最高达40.3°C。查体体温39.5°C，右侧睾丸肿大，有触痛。血常规白细胞5.5×10⁹/L，血培养发现革兰阴性短小杆菌，追问病史，患者自述非从事畜牧业工作，在约发病前一周曾进食生乳，最有可能感染下面的病原体是||鼠疫耶尔森菌||炭疽芽胞杆菌||布鲁菌||钩端螺旋体||普氏立克次体||C
患者，女，34岁，农民，神志不清，呼吸急促，肤色发紫，口角渗出大量血性泡沫状分泌物。体检体温39.7°C，血压80/56mmHg。心率120次/分，皮肤黏膜多处可见紫斑。右侧腹股沟淋巴结肿大并溃破，触之坚硬，与周围组织粘连。肺部闻及少量啰音。该患者最可能患的疾病是||猩红热||炭疽病||肾综合征出血热||钩体病||鼠疫||E
患者，男性，28岁，屠宰工，突发高热、寒战，右臂外侧有一个1cm×3cm的表浅溃疡，溃疡表面有凹陷的黑色焦痂。溃疡初起时为丘疹，后转为水疱，周围组织水肿，继之疱疹中心区出血性坏死，周围有成群小水疱，水肿区继续扩大。局部疼痛与压痛不明显，无脓性分泌物。根据职业特点，分析该患者最可能患的疾病是||布鲁菌病||恙虫病||人-猪链球菌病||皮肤炭疽||鼠疫||D
可引起气性坏疽||布鲁菌||破伤风梭菌||产气荚膜梭菌||鼠疫耶尔森菌||炭疽芽胞杆菌||C
涂片染色呈竹节状排列的革兰阳性菌||布鲁菌||破伤风梭菌||产气荚膜梭菌||鼠疫耶尔森菌||炭疽芽胞杆菌||E
感染动物后，引起母畜流产||布鲁菌||破伤风梭菌||产气荚膜梭菌||鼠疫耶尔森菌||炭疽芽胞杆菌||A
其毒素由保护性抗原、致死因子和水肿因子组成||炭疽芽胞杆菌||具有F1、V/W和MT等毒力因子||毒素阻碍乙酰胆碱的释放||宿主细胞内寄生菌||血浆凝固||A
布鲁菌||其毒素由保护性抗原、致死因子和水肿因子组成||具有F1、V/W和MT等毒力因子||毒素阻碍乙酰胆碱的释放||宿主细胞内寄生菌||血浆凝固||D
鼠疫耶尔森菌||其毒素由保护性抗原、致死因子和水肿因子组成||具有F1、V/W和MT等毒力因子||毒素阻碍乙酰胆碱的释放||宿主细胞内寄生菌||血浆凝固||B
致病菌中最大的革兰阳性杆菌||机体被细菌感染后以细胞免疫为主||毒素能抑制肽链的延长及合成||可引起黑死病||在罗氏固体培养基中分离培养||致病菌中最大的革兰阳性杆菌||E
布鲁菌||机体被细菌感染后以细胞免疫为主||毒素能抑制肽链的延长及合成||可引起黑死病||在罗氏固体培养基中分离培养||致病菌中最大的革兰阳性杆菌||A
鼠疫耶尔森菌||机体被细菌感染后以细胞免疫为主||毒素能抑制肽链的延长及合成||可引起黑死病||在罗氏固体培养基中分离培养||致病菌中最大的革兰阳性杆菌||C

### 第十七章 放线菌
关于放线菌的描述错误的是||呈分枝状生长||抗生素的主要产生菌||真核细胞型微生物||绝大多数无致病性||革兰染色阳性||C
下列与抗生素产生最密切相关的微生物是||细菌||病毒||衣原体||支原体||放线菌||E
放线菌属的生物学特性需除外的是||厌氧或微需氧||非抗酸性细菌||初次分离须加5%CO₂||在血平板上生长1~2天可见微小菌落||脓汁标本肉眼可见硫黄样颗粒||D
放线菌病最常见的临床类型是||肺部感染||面颈部放线菌病||腹部感染||原发性皮肤放线菌病||龋齿和牙周炎||B
放线菌属中具有鉴别诊断意义的微生物检查是||脓汁标本中寻找硫黄样颗粒||是否具有弱抗酸性||呈分枝状生长||液体培养基呈表面膜生长||革兰染色阳性||A
放线菌病患者的化脓性感染的脓汁特征是||黏稠，呈金黄色||稀薄，呈血水样||可见硫黄样颗粒||黄色或黑色颗粒||稀薄，呈暗褐色||C
放线菌属的微生物学检查不包括||组织切片染色镜检||血清学检测||分离培养||脓汁中寻找到硫黄样颗粒||直接镜检有无放射状菌丝||B
关于诺卡菌属描述错误的是||常引起内源性感染||可引起足分枝菌病||专性需氧菌||具有弱抗酸性||主要通过呼吸道引起肺部感染||A
引起足分枝菌病的病原菌是||内氏放线菌||鸟分枝杆菌||巴西诺卡菌||衣氏放线菌||牛型放线菌||C
关于星形诺卡菌描述错误的是||常引起外源性感染||诺卡菌属中致病力最强||可通过血行播散，引起脑膜炎||痰液和组织切片中可寻找到硫黄样颗粒||主要通过呼吸道引起肺部感染||D
星形诺卡菌引起最常见疾病的是||肺炎||脑膜炎||脑脓肿||败血症||腹膜炎||A
诺卡菌属主要分布于||空气||水||土壤||人与外界相通的腔道||人体体外||C
衣氏放线菌和星形诺卡菌的共同点有||抗酸染色阳性||为专性需氧菌||常引起外源性感染||感染病灶中可见菌丝颗粒||菌丝末端不膨大||D
一老年女性患者，右侧鼻腔流脓涕6年，涕中带血2个月。6年前曾有上颌窦穿刺史。鼻内镜检查发现鼻腔黏膜充血肥厚，右侧鼻道可见息肉。将切除的息肉组织送病检，送检物可见硫黄样颗粒结构，镜下可见放射状排列的菌丝，该患者可能感染的是||衣氏放线菌||星形诺卡菌||新生隐球菌||白假丝酵母菌||巴西诺卡菌||A
一肿瘤病人，咳嗽1个月，低热，脓痰，痰标本中可见黑色颗粒状菌落，抗酸染色为弱抗酸性，该患者可能感染的是||结核分枝杆菌||白假丝酵母菌||衣氏放线菌||星形诺卡菌||巴西诺卡菌||D
一中年男性，一年前右小腿出现肿胀、脓疱及结节，反复发作，目前已形成多发性相互连通的引流窦道和瘘管，该患者可能感染的是||蜂窝组织炎||足分枝菌病||气性坏疽||骨髓炎||皮肤脓肿||B
常引起放线菌病的是||星形诺卡菌||巴西诺卡菌||衣氏放线菌||诺卡菌属||结核分枝杆菌||C
抗酸染色弱阳性的是||星形诺卡菌||巴西诺卡菌||衣氏放线菌||诺卡菌属||结核分枝杆菌||D
可引起足分枝菌病的是||星形诺卡菌||巴西诺卡菌||衣氏放线菌||诺卡菌属||结核分枝杆菌||B
与抗生素产生密切相关的是||支原体||衣原体||放线菌||立克次体||螺旋体||C
能人工培养的最小微生物是||支原体||衣原体||放线菌||立克次体||螺旋体||A

### 第十八章 支原体
下述能通过0.45μm滤菌器的微生物是||葡萄球菌||大肠埃希菌||肺炎链球菌||肺炎支原体||白色念珠菌||D
能在无生命培养基中生长繁殖的最小原核细胞型微生物是||支原体||螺旋体||立克次体||衣原体||病毒||A
支原体与细菌的主要不同点是||含有两种核酸||含有核糖体||无细胞壁||仅有核质，无核膜和核仁||能在无生命培养基中生长||C
支原体胞膜具有几层结构||2||3||4||5||6||B
支原体胞膜成分中胆固醇含量为||6%||16%||26%||36%||46%||D
下列哪种结构与肺炎支原体的致病性有关||菌毛||胞膜||顶端结构||微丝||脂质||C
能通过胎盘感染胎儿的支原体是||脲原体||肺炎支原体||发酵支原体||原体||始体||A
男性，15岁。阵发性、刺激性咳嗽，咳少量黏痰或黏性脓液痰，头痛，乏力，咽痛，食欲减退2月余，最近1周头痛明显，畏寒，自认为感冒即口服阿莫西林2盒未见好转。体查：咽红充血，口唇轻度发绀，体温39°C，双肺呼吸音粗，可闻及痰鸣、喘鸣。胸片提示支气管肺炎，冷凝集试验阳性。该患者最可能感染的病原体是||肺炎链球菌||流感病毒||肺炎支原体||嗜肺军团菌||人型支原体||C
张某，男，8岁，以间断咳嗽气喘2个月左右，加重1周入院。查体：咽红充血，双肺呼吸音粗。取呼吸道分泌物进行培养后，可发现"油煎蛋"样菌落，取培养物进行生化分析，可分解葡萄糖，不分解尿素和精氨酸。该患者最可能感染的病原体是||解脲脲原体||人型支原体||肺炎支原体||肺炎衣原体||嗜肺军团菌||C
